pair,entry_date,exit_date,entry_price,exit_price,quantity,pnl,pnl_pct,hold_days,exit_reason,catalyst_score
BONKUSD,2025-07-06,2025-07-16,2.2035e-05,3.8636e-05,54458815.52076242,904.070796460177,75.33923303834807,10,TAKE_PROFIT,97
OPUSD,2025-07-10,2025-07-20,0.6609,0.7858,1815.7058556513844,226.78166137085782,18.898471780904828,10,TIME_EXIT,79
SUIUSD,2025-07-10,2025-07-20,3.4896,3.8943,343.878954607978,139.16781292984865,11.597317744154061,10,TIME_EXIT,75
XRPUSD,2025-07-11,2025-07-21,2.73373,3.55255,438.96068741243647,359.4297900670513,29.952482505587607,10,TIME_EXIT,100
ADAUSD,2025-07-11,2025-07-21,0.709417,0.889791,1691.5298054599764,305.1079971300378,25.425666427503153,10,TIME_EXIT,84
TIAUSD,2025-07-20,2025-07-23,2.1681,1.9304,553.4800055348001,-131.56219731562192,-10.9635164429685,3,STOP_LOSS,86
LINKUSD,2025-07-17,2025-07-27,18.01605,19.24707,66.6072751796315,81.99488789163001,6.832907324302502,10,TIME_EXIT,86
SOLUSD,2025-07-21,2025-07-31,195.82,172.24,6.128076805229292,-144.50005106730669,-12.041670922275552,10,STOP_LOSS,75
ARBUSD,2025-08-13,2025-08-15,0.5697,0.4821,2106.37177461822,-184.51816745655617,-15.376513954713008,2,STOP_LOSS,100
SEIUSD,2025-08-13,2025-08-15,0.35795,0.3217,3352.4235228383855,-121.5253527028915,-10.127112725240957,2,STOP_LOSS,86
LINKUSD,2025-08-08,2025-08-18,19.88413,25.78767,60.3496356139293,356.2764878322562,29.68970731935468,10,TIME_EXIT,75
NEARUSD,2025-08-13,2025-08-18,2.992,2.576,401.06951871657753,-166.84491978609617,-13.903743315508018,5,STOP_LOSS,81
SOLUSD,2025-08-13,2025-08-19,201.59,176.2,5.952676224019048,-151.13844932784377,-12.59487077732031,6,STOP_LOSS,82
TIAUSD,2025-09-09,2025-09-19,1.797,1.6976,667.779632721202,-66.37729549248752,-5.531441291040619,10,TIME_EXIT,84
AVAXUSD,2025-09-10,2025-09-20,29.46,33.19,40.73319755600814,151.9348268839101,12.661235573659187,10,TIME_EXIT,100
NEARUSD,2025-09-18,2025-09-25,3.178,2.728,377.5959723096287,-169.91818753933285,-14.159848961611068,7,STOP_LOSS,92
APTUSD,2025-10-02,2025-10-10,5.2312,3.8894,229.39287352806238,-307.79935769995416,-25.649946474996177,8,STOP_LOSS,82
TIAUSD,2025-10-13,2025-10-16,1.184,1.0303,1013.5135135135135,-155.7770270270271,-12.981418918918916,3,STOP_LOSS,78
FILUSD,2025-11-06,2025-11-07,1.89,3.357,634.9206349206349,931.4285714285716,77.61904761904765,1,TAKE_PROFIT,100
NEARUSD,2025-11-06,2025-11-08,2.097,2.941,572.2460658082975,482.9756795422029,40.24797329518359,2,TAKE_PROFIT,83
FILUSD,2025-11-07,2025-11-08,3.357,2.95,357.46201966041104,-145.48704200178736,-12.123920166815608,1,STOP_LOSS,100
NEARUSD,2025-11-08,2025-11-11,2.941,2.549,408.02448146888815,-159.9455967358042,-13.328799727983675,3,STOP_LOSS,82
TIAUSD,2025-11-07,2025-11-12,1.0559,0.9183,1136.471256747798,-156.37844492849717,-13.031537077374756,5,STOP_LOSS,88
DOTUSD,2025-11-07,2025-11-12,3.2507,2.9223,369.15125972867384,-121.22927369489639,-10.102439474574714,5,STOP_LOSS,92
APTUSD,2025-11-07,2025-11-16,3.1645,2.8345,379.206825722863,-125.13825248854482,-10.428187707378736,9,STOP_LOSS,85
ATOMUSD,2025-11-07,2025-11-17,3.0467,2.6997,393.8687760527784,-136.67246529031422,-11.389372107526176,10,STOP_LOSS,85
ADAUSD,2025-12-09,2025-12-12,0.46987,0.426866,2553.8978866494986,-109.8278247174751,-9.15231872645625,4,END_OF_BACKTEST,89
SEIUSD,2025-12-10,2025-12-12,0.14537,0.13308,8254.798101396436,-101.45146866616233,-8.454289055513515,3,END_OF_BACKTEST,86
