entry_date,exit_date,symbol,entry_price,exit_price,quantity,pnl,pnl_pct,days_held,exit_reason,confirmations
2025-07-16,2025-07-20,DOGEUSD,0.2125706,0.2739231,7056.479117996562,432.9326350868839,28.86217567245893,4,Take Profit,4
2025-07-16,2025-07-23,SOLUSD,173.84,189.48,8.628624022089276,134.95167970547618,8.996778647031746,7,Time Exit,4
2025-07-16,2025-07-23,AVAXUSD,22.66,23.95,66.19593998234775,85.39276257722872,5.6928508384819025,7,Time Exit,4
2025-07-17,2025-07-24,DOTUSD,4.2579,3.9992,357.3159284830793,-92.43763069857255,-6.07576504849809,7,Time Exit,6
2025-07-17,2025-07-24,ATOMUSD,4.8609,4.6162,312.9904939184314,-76.58877386184031,-5.034047192906662,7,Time Exit,4
2025-08-08,2025-08-11,LINKUSD,19.88413,21.08047,79.09008847364086,94.61863644455548,6.016556922530678,3,Trailing Stop,8
2025-08-08,2025-08-14,ETHUSD,4008.37,4549.29,0.3923384320612559,212.22370467057453,13.49476221007542,6,Trailing Stop,6
2025-08-08,2025-08-14,UNIUSD,10.869,10.884,144.6901831742917,2.1703527476145155,0.13800717637317664,6,Trailing Stop,5
2025-08-08,2025-08-14,DOTUSD,3.9815,3.9849,394.9862114583389,1.3429531189583486,0.08539495165138941,6,Protect Gains,4
2025-08-12,2025-08-15,LTCUSD,130.39,119.22,12.630256740416913,-141.07996779045675,-8.566607868701578,3,Stop Loss,4
2025-08-13,2025-08-15,SOLUSD,201.59,185.91,8.31607086764842,-130.39599120472735,-7.778163599384894,2,Stop Loss,8
2025-08-14,2025-08-19,ADAUSD,0.926491,0.846096,1717.070212515397,-138.04385973517515,-8.677364378067352,5,Stop Loss,9
2025-08-17,2025-08-19,LINKUSD,25.66142,23.55042,61.86141375294289,-130.58944443246241,-8.226356920232789,2,Stop Loss,5
2025-08-22,2025-08-25,LINKUSD,26.77286,23.39824,57.452754711084616,-193.8812151031202,-12.604630211340886,3,Stop Loss,7
2025-08-22,2025-08-25,ETHUSD,4830.0,4377.69,0.31846264151018816,-144.0438373814734,-9.364596273291934,3,Stop Loss,6
2025-08-22,2025-08-25,SHIBUSD,1.339e-05,1.203e-05,114874873.67395137,-156.22982819657386,-10.156833457804334,3,Stop Loss,4
2025-08-22,2025-08-25,UNIUSD,11.411,9.703,134.79752506302768,-230.23417280765125,-14.968013320480242,3,Stop Loss,4
2025-08-22,2025-08-29,SOLUSD,200.62,205.12,7.667104767691201,34.501971454610384,2.2430465556773997,7,Time Exit,4
2025-08-28,2025-09-01,ATOMUSD,4.7798,4.3902,302.4069230147212,-117.81773720653541,-8.150968659776554,4,Stop Loss,4
2025-09-09,2025-09-15,DOTUSD,4.1382,4.1552,342.42396104782193,5.821207337812666,0.41080663090231156,6,Protect Gains,6
2025-09-13,2025-09-15,SHIBUSD,1.43e-05,1.308e-05,101483467.37610124,-123.80983019884343,-8.531468531468532,2,Stop Loss,7
2025-09-10,2025-09-17,AVAXUSD,29.46,31.81,48.22895037118613,113.33803337228733,7.976917854718255,7,Time Exit,9
2025-09-12,2025-09-19,DOGEUSD,0.2754409,0.2653484,5166.311649330263,-52.14100032086549,-3.664125407664586,7,Time Exit,6
2025-09-12,2025-09-19,SOLUSD,242.33,238.54,5.872213635835481,-22.25568967981667,-1.5639829983906328,7,Time Exit,5
2025-10-02,2025-10-09,LTCUSD,119.6,125.93,11.748844010741497,74.3701825879939,5.292642140468238,7,Time Exit,8
2025-10-02,2025-10-09,XBTUSD,120649.9,121699.0,0.011646605125115587,12.218453436758864,0.8695407124249633,7,Time Exit,4
2025-10-09,2025-10-10,LTCUSD,125.93,97.95,11.261415382263129,-315.09440239572245,-22.218692924640678,1,Stop Loss,4
2025-11-07,2025-11-10,LTCUSD,101.87,104.2,13.457208979376043,31.355296921946092,2.2872288210464298,3,Protect Gains,8
2025-11-09,2025-11-10,UNIUSD,6.57,9.376,210.21903324270463,589.8746072790291,42.70928462709283,1,Take Profit,5
2025-11-07,2025-11-12,DOTUSD,3.2507,2.9223,421.7202075642285,-138.49291616409278,-10.102439474574714,5,Stop Loss,9
2025-11-07,2025-11-13,SHIBUSD,1.002e-05,9.3e-06,136814957.95698977,-98.50676972903261,-7.185628742514968,6,Stop Loss,4
2025-11-07,2025-11-14,ATOMUSD,3.0467,2.7967,449.9576193025364,-112.48940482563398,-8.20559950109955,7,Stop Loss,7
2025-11-24,2025-12-01,XRPUSD,2.22693,2.03001,633.8982369231948,-124.82724081491551,-8.842666810362248,7,Stop Loss,4
2025-12-03,2025-12-05,LINKUSD,14.6351,13.59036,95.17686347405436,-99.43507634588354,-7.138591468455966,2,Stop Loss,4
2025-12-09,2025-12-11,ADAUSD,0.46987,0.425358,2932.7423610301794,-130.54222797417538,-9.473258560878541,2,Stop Loss,8
2025-12-09,2025-12-12,ETHUSD,3318.37,3252.74,0.4152664269437255,-27.25393560031671,-1.9777782465487608,4,Backtest End,4
